[ 1.88256333]	79
[ 2.47051842]	77
[ 2.6128686]	76
[ 2.47966464]	74
[ 2.26798013]	63
[ 2.45714849]	58
[ 1.91397774]	55
[ 1.85212794]	57
[ 2.31435374]	64
[ 1.60789116]	50
[ 1.97354325]	35
[ 1.5849932]	50
[ 2.04344084]	71
[ 1.6667097]	49
[ 1.92249365]	53
[ 1.59782289]	57
[ 1.8401215]	43
[ 2.32209935]	53
[ 2.00941648]	54
[ 2.14843038]	49
[ 2.54292971]	45
[ 1.94039233]	61
[ 2.03582313]	60
[ 1.87926984]	60
[ 2.1692474]	57
[ 1.96389946]	59
[ 2.0094966]	56
[ 1.7314403]	58
[ 2.05970325]	53
[ 1.99313736]	47
[ 1.98954519]	56
[ 1.86220408]	60
[ 1.91912223]	62
[ 2.16115693]	58
[ 2.03818889]	43
[ 2.15644385]	53
[ 1.60073469]	50
[ 2.0064263]	60
[ 2.08397818]	53
[ 1.99437966]	42
[ 2.2631658]	51
[ 1.79697052]	30
[ 1.85574733]	35
[ 1.95506784]	37
[ 1.8487794]	28
[ 1.78511812]	44
[ 1.33284905]	37
[ 2.10637977]	46
[ 2.39074691]	49
[ 2.18115275]	44
[ 2.11139927]	26
[ 2.45530807]	35
[ 2.28631003]	47
[ 0.77480726]	9
[ 2.79470233]	37
[ 3.06850096]	39
[ 2.12560544]	48
[ 1.99155685]	56
[ 2.06729321]	39
[ 2.49052436]	37
[ 2.42586395]	40
[ 2.19857987]	58
[ 2.4258579]	45
[ 1.8425454]	46
[ 2.64179592]	32
[ 1.80058957]	42
[ 2.38318821]	36
[ 2.36124884]	38
[ 2.47917254]	33
[ 2.78115646]	40
[ 1.88009619]	43
[ 2.24495029]	39
[ 1.95294487]	29
[ 2.62560668]	33
[ 2.13219048]	35
[ 2.20903665]	31
[ 1.81138776]	16
[ 1.70113832]	30
[ 2.35782313]	36
[ 2.28764172]	30
[ 1.64782514]	27
[ 1.71346464]	43
[ 2.00741043]	24
[ 2.02937946]	41
[ 2.16463946]	40
[ 2.66445058]	34
[ 2.24161781]	44
[ 1.82014512]	30
[ 1.87448259]	34
[ 1.73665646]	32
[ 2.05026596]	31
[ 2.15751776]	45
[ 2.83620909]	38
[ 3.12265677]	33
[ 1.58195758]	34
[ 1.69386614]	31
[ 2.20177828]	27
[ 2.50464253]	31
[ 2.15703999]	41
[ 2.89875039]	26
[ 2.18504387]	29
[ 1.76116553]	33
[ 2.2023871]	31
[ 2.02326682]	18
[ 2.1554452]	36
[ 2.13429275]	29
[ 2.40249969]	22
[ 2.32444444]	24
[ 2.38628213]	19
[ 2.22338776]	26
[ 2.73096835]	23
[ 1.984]	16
[ 2.79805442]	20
[ 2.31240863]	29
[ 2.56411457]	19
[ 2.1710839]	18
[ 2.0355497]	31
