#uplink	channel	x [mm]	y [mm]	stairs	sensor
5	60	840	200	3	29
5	61	870	200	3	30
5	62	900	200	3	31
5	63	930	200	3	32
6	0	0	100	2	1
6	1	30	100	2	2
6	2	60	100	2	3
6	3	90	100	2	4
6	4	120	100	2	5
6	5	150	100	2	6
6	6	180	100	2	7
6	7	210	100	2	8
6	8	240	100	2	9
6	9	270	100	2	10
6	10	300	100	2	11
6	11	330	100	2	12
6	12	360	100	2	13
6	13	390	100	2	14
6	14	420	100	2	15
6	15	450	100	2	16
6	16	480	100	2	17
6	17	510	100	2	18
6	18	540	100	2	19
6	19	570	100	2	20
6	20	600	100	2	21
6	21	630	100	2	22
6	22	660	100	2	23
6	23	690	100	2	24
6	24	720	100	2	25
6	25	750	100	2	26
6	26	780	100	2	27
6	27	810	100	2	28
6	28	840	100	2	29
6	29	870	100	2	30
6	30	900	100	2	31
6	31	930	100	2	32
6	32	0	0	1	1
6	33	30	0	1	2
6	34	60	0	1	3
6	35	90	0	1	4
6	36	120	0	1	5
6	37	150	0	1	6
6	38	180	0	1	7
6	39	210	0	1	8
6	40	240	0	1	9
6	41	270	0	1	10
6	42	300	0	1	11
6	43	330	0	1	12
6	44	360	0	1	13
6	45	390	0	1	14
6	46	420	0	1	15
6	47	450	0	1	16
6	48	480	0	1	17
6	49	510	0	1	18
6	50	540	0	1	19
6	51	570	0	1	20
6	52	600	0	1	21
6	53	630	0	1	22
6	54	660	0	1	23
6	55	690	0	1	24
6	56	720	0	1	25
6	57	750	0	1	26
6	58	780	0	1	27
6	59	810	0	1	28
6	60	840	0	1	29
6	61	870	0	1	30
6	62	900	0	1	31
6	63	930	0	1	32
